,activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,path
22,PAMIP,NCAR,CESM2,pdSST-piArcSIC,r67i1p1f1,day,rlut,gn,/glade/collections/cmip/CMIP6/PAMIP/NCAR/CESM2/pdSST-piArcSIC/r67i1p1f1/day/rlut/gn/v20190528/rlut_day_CESM2_pdSST-piArcSIC_r67i1p1f1_gn_20000601-20010601.nc
23,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r2i1p1f1,Omon,so,gn,/glade/collections/cmip/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/so/gn/v20190408/so/so_Omon_EC-Earth3_historical_r2i1p1f1_gn_191201-191212.nc
24,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r15i1p1f1,Emon,ps,gr,/glade/collections/cmip/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r15i1p1f1/Emon/ps/gr/v20190710/ps/ps_Emon_EC-Earth3_historical_r15i1p1f1_gr_194801-194812.nc
25,CMIP,NCAR,CESM2,abrupt-4xCO2,r1i1p1f1,SImon,sisnthick,gn,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/SImon/sisnthick/gn/v20190927/sisnthick_SImon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc
26,CMIP,CCCma,CanESM5,historical,r19i1p1f1,Omon,so,gn,/glade/collections/cmip/CMIP6/CMIP/CCCma/CanESM5/historical/r19i1p1f1/Omon/so/gn/v20190429/so/so_Omon_CanESM5_historical_r19i1p1f1_gn_186101-187012.nc
27,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r2i1p1f1,Emon,orog,gr,/glade/collections/cmip/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Emon/orog/gr/v20190408/orog/orog_Emon_EC-Earth3_historical_r2i1p1f1_gr_200301-200312.nc
28,CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,tauv,gn,/glade/collections/cmip/CMIP6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/tauv/gn/v20190323/tauv/tauv_Amon_SAM0-UNICON_1pctCO2_r1i1p1f1_gn_194001-194912.nc
29,CMIP,NCAR,CESM2,abrupt-4xCO2,r1i1p1f1,Lmon,mrfso,gn,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/Lmon/mrfso/gn/v20190927/mrfso_Lmon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_090001-094912.nc
30,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r24i1p1f1,Omon,tob,gn,/glade/collections/cmip/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Omon/tob/gn/v20190411/tob/tob_Omon_EC-Earth3_historical_r24i1p1f1_gn_200001-200012.nc
31,CMIP,IPSL,IPSL-CM6A-LR,historical,r18i1p1f1,Amon,cli,gr,/glade/collections/cmip/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r18i1p1f1/Amon/cli/gr/v20180803/cli/cli_Amon_IPSL-CM6A-LR_historical_r18i1p1f1_gr_185001-201412.nc
32,CMIP,NCAR,CESM2,esm-piControl,r1i1p1f1,Lmon,rh,gn,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/esm-piControl/r1i1p1f1/Lmon/rh/gn/v20190723/rh_Lmon_CESM2_esm-piControl_r1i1p1f1_gn_010101-015012.nc
33,CMIP,EC-Earth-Consortium,EC-Earth3-Veg,piControl,r1i1p1f1,Omon,masso,gn,/glade/collections/cmip/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg/piControl/r1i1p1f1/Omon/masso/gn/v20190619/masso/masso_Omon_EC-Earth3-Veg_piControl_r1i1p1f1_gn_190701-190712.nc
34,CMIP,NASA-GISS,GISS-E2-1-G,amip,r3i1p3f1,AERmon,mmrso4,gn,/glade/collections/cmip/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/amip/r3i1p3f1/AERmon/mmrso4/gn/v20190522/mmrso4/mmrso4_AERmon_GISS-E2-1-G_amip_r3i1p3f1_gn_200101-201412.nc
35,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r24i1p1f1,Omon,tos,gn,/glade/collections/cmip/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Omon/tos/gn/v20190411/tos/tos_Omon_EC-Earth3_historical_r24i1p1f1_gn_193001-193012.nc
36,CMIP,IPSL,IPSL-CM6A-LR,historical,r30i1p1f1,Omon,wmo,gn,/glade/collections/cmip/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r30i1p1f1/Omon/wmo/gn/v20180803/wmo/wmo_Omon_IPSL-CM6A-LR_historical_r30i1p1f1_gn_185001-194912.nc
37,CMIP,CCCma,CanESM5,historical,r6i1p1f1,Omon,chl,gn,/glade/collections/cmip/CMIP6/CMIP/CCCma/CanESM5/historical/r6i1p1f1/Omon/chl/gn/v20190429/chl/chl_Omon_CanESM5_historical_r6i1p1f1_gn_189101-190012.nc
38,CMIP,CCCma,CanESM5,historical,r7i1p1f1,Omon,hfds,gn,/glade/collections/cmip/CMIP6/CMIP/CCCma/CanESM5/historical/r7i1p1f1/Omon/hfds/gn/v20190306/hfds/hfds_Omon_CanESM5_historical_r7i1p1f1_gn_185001-201412.nc
39,CMIP,NCAR,CESM2-WACCM,piControl,r1i1p1f1,Eday,hus,gn,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Eday/hus/gn/v20190320/hus_Eday_CESM2-WACCM_piControl_r1i1p1f1_gn_01800101-01891231.nc
40,CMIP,CCCma,CanESM5,piControl,r1i1p1f1,SImon,siconc,gn,/glade/collections/cmip/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/SImon/siconc/gn/v20190429/siconc/siconc_SImon_CanESM5_piControl_r1i1p1f1_gn_540101-560012.nc
41,LS3MIP,NCAR,CESM2,land-hist-princeton,r1i1p1f1,LImon,tsn,gn,/glade/collections/cmip/CMIP6/LS3MIP/NCAR/CESM2/land-hist-princeton/r1i1p1f1/LImon/tsn/gn/v20190802/tsn_LImon_CESM2_land-hist-princeton_r1i1p1f1_gn_185001-189912.nc
42,CMIP,EC-Earth-Consortium,EC-Earth3-Veg,piControl,r1i1p1f1,SImon,sispeed,gn,/glade/collections/cmip/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg/piControl/r1i1p1f1/SImon/sispeed/gn/v20190619/sispeed/sispeed_SImon_EC-Earth3-Veg_piControl_r1i1p1f1_gn_230501-230512.nc
43,CMIP,BCC,BCC-CSM2-MR,historical,r3i1p1f1,Amon,clivi,gn,/glade/collections/cmip/CMIP6/CMIP/BCC/BCC-CSM2-MR/historical/r3i1p1f1/Amon/clivi/gn/v20190311/clivi/clivi_Amon_BCC-CSM2-MR_historical_r3i1p1f1_gn_185001-201412.nc
44,CMIP,BCC,BCC-ESM1,1pctCO2,r1i1p1f1,Omon,uo,gn,/glade/collections/cmip/CMIP6/CMIP/BCC/BCC-ESM1/1pctCO2/r1i1p1f1/Omon/uo/gn/v20190611/uo/uo_Omon_BCC-ESM1_1pctCO2_r1i1p1f1_gn_198001-198912.nc
45,CMIP,EC-Earth-Consortium,EC-Earth3-Veg,historical,r1i1p1f1,Lmon,cVeg,gr,/glade/collections/cmip/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg/historical/r1i1p1f1/Lmon/cVeg/gr/v20190605/cVeg/cVeg_Lmon_EC-Earth3-Veg_historical_r1i1p1f1_gr_200601-200612.nc
46,CMIP,SNU,SAM0-UNICON,piControl,r1i1p1f1,Omon,tosga,gn,/glade/collections/cmip/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/tosga/gn/v20190323/tosga/tosga_Omon_SAM0-UNICON_piControl_r1i1p1f1_gn_044201-045112.nc
47,CMIP,NCAR,CESM2,1pctCO2,r1i1p1f1,ImonGre,mrroLi,gn,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2/1pctCO2/r1i1p1f1/ImonGre/mrroLi/gn/v20190425/mrroLi_ImonGre_CESM2_1pctCO2_r1i1p1f1_gn_005101-010012.nc
48,PAMIP,NCAR,CESM2,pdSST-pdSIC,r77i1p1f1,Lmon,gpp,gn,/glade/collections/cmip/CMIP6/PAMIP/NCAR/CESM2/pdSST-pdSIC/r77i1p1f1/Lmon/gpp/gn/v20190430/gpp_Lmon_CESM2_pdSST-pdSIC_r77i1p1f1_gn_200006-200105.nc
49,CMIP,IPSL,IPSL-CM6A-LR,historical,r21i1p1f1,Omon,physios,gn,/glade/collections/cmip/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r21i1p1f1/Omon/physios/gn/v20180803/physios/physios_Omon_IPSL-CM6A-LR_historical_r21i1p1f1_gn_185001-201412.nc
